crime,scope,t,trend,trend_season,shared_time_effect
burglary_other,PFA,32,-8.06141546478593,-8.06141546478593,0.044698111774982764
burglary_other,PFA,33,-8.046889643063949,-8.013615850476224,0.01200677064445935
burglary_other,PFA,34,-8.041041238641203,-7.979431972902497,-0.06305208071345825
burglary_other,PFA,35,-8.046744192463018,-7.985028455133116,-0.10081795172173626
burglary_other,PFA,36,-8.064426426379573,-8.064426426379573,0.041267793733373276
burglary_other,PFA,37,-8.092632911898,-8.059359119310276,0.007862699638942318
burglary_other,PFA,38,-8.129860184503748,-8.068250918765044,-0.08319411330536322
burglary_other,PFA,39,-8.174604779682262,-8.11288904235236,-0.12138386744989686
burglary_other,PFA,40,-8.22536323291899,-8.22536323291899,0.019457231363471984
burglary_other,PFA,41,-8.280632079699378,-8.247358287111656,0.021623649353582835
burglary_other,PFA,42,-8.338907855508872,-8.277298589770169,0.04618778346726659
burglary_other,PFA,43,-8.398687095832921,-8.33697135850302,0.041510558406069056
burglary_residential,CSP,0,-7.465756102422413,-7.465756102422413,0.1185867233869984
burglary_residential,CSP,1,-7.388321098023616,-7.34387179685422,0.03970973160428851
burglary_residential,CSP,2,-7.312068533115335,-7.167838140632133,0.05528989755108664
burglary_residential,CSP,3,-7.238180847188083,-7.167542166544188,-0.0216338434972831
burglary_residential,CSP,4,-7.167840479732376,-7.167840479732376,-0.1333927174148785
burglary_residential,CSP,5,-7.102229870238725,-7.057780569069329,-0.14055967566430252
burglary_residential,CSP,6,-7.042531458197649,-6.898301065714446,-0.18145220639800497
burglary_residential,CSP,7,-6.989927683099658,-6.919289002455764,-0.16996487007045594
burglary_residential,CSP,8,-6.945600984435273,-6.945600984435273,0.1890860464929047
burglary_residential,CSP,9,-6.9107174128717705,-6.866268111702374,0.11854766507971931
burglary_residential,CSP,10,-6.885805903573371,-6.7415755110901685,0.08915291945389882
burglary_residential,CSP,11,-6.8705677561311616,-6.799929075487267,0.03850370161090292
burglary_residential,CSP,12,-6.864648957857834,-6.864648957857834,0.019935163585641884
burglary_residential,CSP,13,-6.867695496066075,-6.823246194896679,0.01191441033129808
burglary_residential,CSP,14,-6.879353358068579,-6.7351229655853775,0.03565456505734704
burglary_residential,CSP,15,-6.899268531178033,-6.8286298505341385,0.031329745793428156
burglary_residential,CSP,16,-6.927087002707127,-6.927087002707127,0.026599854692868068
burglary_residential,CSP,17,-6.962454759968552,-6.918005458799156,0.017053478937571108
burglary_residential,CSP,18,-7.00486729658727,-6.8606369041040685,0.03450631496593198
burglary_residential,CSP,19,-7.052707863777389,-6.982069183133494,0.08225617087938589
burglary_residential,CSP,20,-7.103861202412422,-7.103861202412422,-0.2178148615172222
burglary_residential,CSP,21,-7.156209701902012,-7.111760400732615,-0.025359579220333123
burglary_residential,CSP,22,-7.207635751655798,-7.063405359172596,-0.05910613078695488
burglary_residential,CSP,23,-7.256021741083425,-7.185383060439531,-0.12751521099955937
burglary_residential,CSP,24,-7.299250059594534,-7.299250059594534,-0.07251281380248856
burglary_residential,CSP,25,-7.335203096598769,-7.2907537954293735,-0.006814997812573624
burglary_residential,CSP,26,-7.361768943130689,-7.217538550647486,0.06427103307740062
burglary_residential,CSP,27,-7.3780444347076415,-7.307405754063747,0.07707703195795886
burglary_residential,CSP,28,-7.385823275433565,-7.385823275433565,0.10187507844465436
burglary_residential,CSP,29,-7.387264073407207,-7.34281477223781,0.03236392107315684
burglary_residential,CSP,30,-7.384525436727308,-7.240295044244105,0.018883173746303078
burglary_residential,CSP,31,-7.379765973492612,-7.309127292848717,0.06193781817956216
burglary_residential,CSP,32,-7.375144291801862,-7.375144291801862,0.004179042569864048
burglary_residential,CSP,33,-7.372818999753804,-7.328369698584408,0.010802595920092683
burglary_residential,CSP,34,-7.37494870544718,-7.230718312963978,-0.01474208819343013
burglary_residential,CSP,35,-7.383583007813959,-7.312944327170064,0.004637163075521969
burglary_residential,CSP,36,-7.399140405661084,-7.399140405661084,-0.00863667902364636
burglary_residential,CSP,37,-7.4207837736893385,-7.376334472519942,-0.05501175746044498
burglary_residential,CSP,38,-7.447643687587135,-7.303413295103933,-0.06871306261810974
burglary_residential,CSP,39,-7.478850723042881,-7.408212042398986,-0.05399272567827004
burglary_residential,CSP,40,-7.5135354557449885,-7.5135354557449885,-0.024635298810613486
burglary_residential,CSP,41,-7.550828461381865,-7.50637916021247,-0.001100419607779163
burglary_residential,CSP,42,-7.589860315641923,-7.44562992315872,0.027298424483657043
burglary_residential,CSP,43,-7.629761594213569,-7.5591229135696745,0.07227274580631368
burglary_residential,PFA,0,-7.386538260649305,-7.386538260649305,0.1300341222804997
burglary_residential,PFA,1,-7.315109508609446,-7.269620568353146,0.046680852134451216
burglary_residential,PFA,2,-7.244767973302743,-7.103080481128212,0.047091399353828785
burglary_residential,PFA,3,-7.176600871462347,-7.108873028114931,-0.028599612555272484
burglary_residential,PFA,4,-7.111695419821415,-7.111695419821415,-0.14832387630830618
burglary_residential,PFA,5,-7.051138835113098,-7.005649894856798,-0.14398248815190604
burglary_residential,PFA,6,-6.996018334070552,-6.8543308418960205,-0.17874244384647187
burglary_residential,PFA,7,-6.94742113342693,-6.879693290079513,-0.16359290357641335
burglary_residential,PFA,8,-6.9064344499153885,-6.9064344499153885,0.18391636051727253
burglary_residential,PFA,9,-6.874131152599464,-6.828642212343164,0.11681877875613408
burglary_residential,PFA,10,-6.851026344886424,-6.709338852711893,0.09801586259508092
burglary_residential,PFA,11,-6.836910572867984,-6.769182729520566,0.049435313825599805
burglary_residential,PFA,12,-6.831525959250914,-6.831525959250914,0.023765737747639296
burglary_residential,PFA,13,-6.834614626741985,-6.789125686485685,0.011302881508801725
burglary_residential,PFA,14,-6.84591869804796,-6.7042312058734295,0.03798055909142825
burglary_residential,PFA,15,-6.8651802958756125,-6.797452452528195,0.02873755584518071
burglary_residential,PFA,16,-6.892141542931708,-6.892141542931708,0.0212112403985073
burglary_residential,PFA,17,-6.926544561923017,-6.881055621666717,0.00692554288875221
burglary_residential,PFA,18,-6.967974051392299,-6.826286559217769,0.030669525058325094
burglary_residential,PFA,19,-7.014851246920194,-6.9471234035727765,0.07673656110034495
burglary_residential,PFA,20,-7.065075916544062,-7.065075916544062,-0.21084694505027385
burglary_residential,PFA,21,-7.116545368548707,-7.071056428292406,-0.026162544410245275
burglary_residential,PFA,22,-7.167156911218925,-7.025469419044394,-0.05617049330652065
burglary_residential,PFA,23,-7.214807852839518,-7.1470800094921,-0.11778238404350218
burglary_residential,PFA,24,-7.257395501695286,-7.257395501695286,-0.06539623043341496
burglary_residential,PFA,25,-7.292817166071029,-7.247328225814729,-0.0018503644267650887
burglary_residential,PFA,26,-7.318975796812162,-7.1772883046376315,0.05765616227975455
burglary_residential,PFA,27,-7.334970567614888,-7.26724272426747,0.07607326429800576
burglary_residential,PFA,28,-7.342569583347197,-7.342569583347197,0.09914829519449328
burglary_residential,PFA,29,-7.343902072756569,-7.298413132500269,0.028962057744988577
burglary_residential,PFA,30,-7.341097264590475,-7.199409772415945,0.018314137426185036
burglary_residential,PFA,31,-7.336284387596392,-7.268556544248975,0.056549064010703
burglary_residential,PFA,32,-7.331592670521798,-7.331592670521798,0.0022751453755576008
burglary_residential,PFA,33,-7.329151342114165,-7.283662401857865,0.008789011272150066
burglary_residential,PFA,34,-7.331089631120971,-7.1894021389464395,-0.020717104481620785
burglary_residential,PFA,35,-7.33942930250178,-7.271701459154363,-0.0015563401072335747
burglary_residential,PFA,36,-7.3545841445378315,-7.3545841445378315,-0.003089968378890626
burglary_residential,PFA,37,-7.375730121879269,-7.330241181622969,-0.03585396159080399
burglary_residential,PFA,38,-7.402011358053895,-7.260323865879364,-0.058467023042577705
burglary_residential,PFA,39,-7.432571976589512,-7.364844133242094,-0.05572518489626916
burglary_residential,PFA,40,-7.4665561010139205,-7.4665561010139205,-0.029380561993822656
burglary_residential,PFA,41,-7.503107854854923,-7.457618914598623,-0.010274652292861425
burglary_residential,PFA,42,-7.541371361640322,-7.399683869465791,0.025257091555342143
burglary_residential,PFA,43,-7.5804907448979195,-7.512762901550502,0.07487470321388966
causing_death_or_serious_injury_unlawful_driving,CSP,0,-12.469898006387984,-12.469898006387984,-0.022275315160461034
causing_death_or_serious_injury_unlawful_driving,CSP,1,-12.458339828394742,-12.42863873127984,0.008562301704832347
causing_death_or_serious_injury_unlawful_driving,CSP,2,-12.44680484542408,-12.353877012980128,-0.09158808351804205
causing_death_or_serious_injury_unlawful_driving,CSP,3,-12.435316252498568,-12.404177586886496,0.019110461524170248
causing_death_or_serious_injury_unlawful_driving,CSP,4,-12.423897244640793,-12.423897244640793,0.07358077709787635
causing_death_or_serious_injury_unlawful_driving,CSP,5,-12.412571016873324,-12.382869919758422,0.05369445190292781
causing_death_or_serious_injury_unlawful_driving,CSP,6,-12.401360764218744,-12.308432931774792,0.07658892311540862
causing_death_or_serious_injury_unlawful_driving,CSP,7,-12.390289681699628,-12.359151016087555,-0.020011554077103942
causing_death_or_serious_injury_unlawful_driving,CSP,8,-12.379380964338553,-12.379380964338553,-0.042439983462220075
causing_death_or_serious_injury_unlawful_driving,CSP,9,-12.368662768664345,-12.338961671549443,-0.014873627110700853
causing_death_or_serious_injury_unlawful_driving,CSP,10,-12.358356129761162,-12.265428297317213,-0.0220287638678061
causing_death_or_serious_injury_unlawful_driving,CSP,11,-12.348932638778626,-12.317793973166552,-0.014282974726958254
causing_death_or_serious_injury_unlawful_driving,CSP,12,-12.34088063194993,-12.34088063194993,-0.00090748784888571
causing_death_or_serious_injury_unlawful_driving,CSP,13,-12.33468844550827,-12.304987348393368,-0.07093358518869163
causing_death_or_serious_injury_unlawful_driving,CSP,14,-12.330844415686848,-12.237916583242896,0.0653314402118405
causing_death_or_serious_injury_unlawful_driving,CSP,15,-12.32983687871886,-12.298698213106785,0.008844366897438774
causing_death_or_serious_injury_unlawful_driving,CSP,16,-12.332154170837505,-12.332154170837505,-0.06635738529943894
causing_death_or_serious_injury_unlawful_driving,CSP,17,-12.338284628275977,-12.308583531161075,-0.001179221943703698
causing_death_or_serious_injury_unlawful_driving,CSP,18,-12.348483161907872,-12.255555329463922,0.037033579135095175
causing_death_or_serious_injury_unlawful_driving,CSP,19,-12.361279523308404,-12.330140857696332,0.028847019236489697
causing_death_or_serious_injury_unlawful_driving,CSP,20,-12.3744302425491,-12.3744302425491,-0.08794680825485106
causing_death_or_serious_injury_unlawful_driving,CSP,21,-12.385688202430217,-12.355987105315315,0.09910623241047893
causing_death_or_serious_injury_unlawful_driving,CSP,22,-12.392806285752036,-12.299878453308086,-0.05264123621499126
causing_death_or_serious_injury_unlawful_driving,CSP,23,-12.393537375314828,-12.362398709702754,0.03684396113003525
causing_death_or_serious_injury_unlawful_driving,CSP,24,-12.385634353918864,-12.385634353918864,0.04221298528061218
causing_death_or_serious_injury_unlawful_driving,CSP,25,-12.366850104364413,-12.337149007249511,0.061398985268097395
causing_death_or_serious_injury_unlawful_driving,CSP,26,-12.334945162437997,-12.242017329994049,0.005310558763173047
causing_death_or_serious_injury_unlawful_driving,CSP,27,-12.289302497009787,-12.258163831397713,-0.043827932591032584
causing_death_or_serious_injury_unlawful_driving,CSP,28,-12.232924939443215,-12.232924939443215,0.005686483896533939
causing_death_or_serious_injury_unlawful_driving,CSP,29,-12.169305112221323,-12.139604015106421,-0.06329890594022208
causing_death_or_serious_injury_unlawful_driving,CSP,30,-12.10193563782713,-12.009007805383181,-0.06062065670153186
causing_death_or_serious_injury_unlawful_driving,CSP,31,-12.034309138743676,-12.003170473131604,-0.07135054569599189
causing_death_or_serious_injury_unlawful_driving,CSP,32,-11.96991823745399,-11.96991823745399,0.09366514555815293
causing_death_or_serious_injury_unlawful_driving,CSP,33,-11.912255556441103,-11.882554459326201,-0.020098217518242225
causing_death_or_serious_injury_unlawful_driving,CSP,34,-11.864813718188044,-11.771885885744094,-0.005732421030575086
causing_death_or_serious_injury_unlawful_driving,CSP,35,-11.830896357453048,-11.799757691840975,0.04781191537870982
causing_death_or_serious_injury_unlawful_driving,CSP,36,-11.810979292667781,-11.810979292667781,-0.007444278403776291
causing_death_or_serious_injury_unlawful_driving,CSP,37,-11.803361483656055,-11.773660386541152,-0.00039592062212386785
causing_death_or_serious_injury_unlawful_driving,CSP,38,-11.806285893878805,-11.713358061434853,0.025897039377213462
causing_death_or_serious_injury_unlawful_driving,CSP,39,-11.817995486796946,-11.78685682118487,0.02899259244654538
causing_death_or_serious_injury_unlawful_driving,CSP,40,-11.836733225871397,-11.836733225871397,0.00925112511988957
causing_death_or_serious_injury_unlawful_driving,CSP,41,-11.860742074563083,-11.83104097744818,-0.04810750241447862
causing_death_or_serious_injury_unlawful_driving,CSP,42,-11.888264996332927,-11.795337163888977,0.020825159688800686
